,file_name,label
0,0.png,T-Shirt
1,1.png,T-Shirt
2,10.png,T-Shirt
3,100.png,T-Shirt
4,101.png,T-Shirt
5,102.png,T-Shirt
6,103.png,T-Shirt
7,104.png,T-Shirt
8,105.png,T-Shirt
9,106.png,T-Shirt
10,107.png,T-Shirt
11,108.png,T-Shirt
12,109.png,T-Shirt
13,11.png,T-Shirt
14,110.png,T-Shirt
15,111.png,T-Shirt
16,112.png,T-Shirt
17,113.png,T-Shirt
18,114.png,T-Shirt
19,115.png,T-Shirt
20,116.png,T-Shirt
21,117.png,T-Shirt
22,12.png,T-Shirt
23,13.png,T-Shirt
24,14.png,T-Shirt
25,15.png,T-Shirt
26,16.png,T-Shirt
27,17.png,T-Shirt
28,18.png,T-Shirt
29,19.png,T-Shirt
30,2.png,T-Shirt
31,20.png,T-Shirt
32,21.png,T-Shirt
33,22.png,T-Shirt
34,23.png,T-Shirt
35,24.png,T-Shirt
36,25.png,T-Shirt
37,26.png,T-Shirt
38,27.png,T-Shirt
39,28.png,T-Shirt
40,29.png,T-Shirt
41,3.png,T-Shirt
42,30.png,T-Shirt
43,31.png,T-Shirt
44,32.png,T-Shirt
45,33.png,T-Shirt
46,34.png,T-Shirt
47,35.png,T-Shirt
48,36.png,T-Shirt
49,37.png,T-Shirt
50,38.png,T-Shirt
51,39.png,T-Shirt
52,4.png,T-Shirt
53,40.png,T-Shirt
54,41.png,T-Shirt
55,42.png,T-Shirt
56,43.png,T-Shirt
57,44.png,T-Shirt
58,45.png,T-Shirt
59,46.png,T-Shirt
60,47.png,T-Shirt
61,48.png,T-Shirt
62,49.png,T-Shirt
63,5.png,T-Shirt
64,50.png,T-Shirt
65,51.png,T-Shirt
66,52.png,T-Shirt
67,53.png,T-Shirt
68,54.png,T-Shirt
69,55.png,T-Shirt
70,56.png,T-Shirt
71,57.png,T-Shirt
72,58.png,T-Shirt
73,59.png,T-Shirt
74,6.png,T-Shirt
75,60.png,T-Shirt
76,61.png,T-Shirt
77,62.png,T-Shirt
78,63.png,T-Shirt
79,64.png,T-Shirt
80,65.png,T-Shirt
81,66.png,T-Shirt
82,67.png,T-Shirt
83,68.png,T-Shirt
84,69.png,T-Shirt
85,7.png,T-Shirt
86,70.png,T-Shirt
87,71.png,T-Shirt
88,72.png,T-Shirt
89,73.png,T-Shirt
90,74.png,T-Shirt
91,75.png,T-Shirt
92,76.png,T-Shirt
93,77.png,T-Shirt
94,78.png,T-Shirt
95,79.png,T-Shirt
96,8.png,T-Shirt
97,80.png,T-Shirt
98,81.png,T-Shirt
99,82.png,T-Shirt
100,83.png,T-Shirt
101,84.png,T-Shirt
102,85.png,T-Shirt
103,86.png,T-Shirt
104,87.png,T-Shirt
105,88.png,T-Shirt
106,89.png,T-Shirt
107,9.png,T-Shirt
108,90.png,T-Shirt
109,91.png,T-Shirt
110,92.png,T-Shirt
111,93.png,T-Shirt
112,94.png,T-Shirt
113,95.png,T-Shirt
114,96.png,T-Shirt
115,97.png,T-Shirt
116,98.png,T-Shirt
117,99.png,T-Shirt
